player_id,player_name,GP,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,MIN
1629639,Tyler Herro,394,19.5,5.0,4.1,0.7,0.2,2.2,0.45,0.382,0.878,32.5
1642278,Tyler Kolek,103,3.4,1.2,2.3,0.3,0.1,0.7,0.409,0.36,0.73,9.9
1641890,Tyler Smith,35,3.5,1.7,0.3,0.3,0.1,0.4,0.45,0.354,0.714,8.2
1630169,Tyrese Haliburton,333,17.5,3.7,8.8,1.5,0.6,2.1,0.477,0.392,0.855,33.0
1631213,Tyrese Martin,122,6.8,2.8,1.7,0.5,0.1,1.0,0.401,0.337,0.761,17.7
1630178,Tyrese Maxey,388,21.1,3.2,4.8,1.1,0.4,1.6,0.461,0.377,0.873,33.1
1642878,Tyrese Proctor,50,5.4,1.3,1.5,0.5,0.0,0.8,0.413,0.351,0.889,10.9
1630623,Tyson Etienne,31,7.9,1.2,1.7,0.5,0.0,0.8,0.381,0.368,0.826,17.1
1631102,TyTy Washington Jr.,74,2.9,0.9,1.1,0.4,0.1,0.3,0.357,0.243,0.542,9.4
1626145,Tyus Jones,749,7.3,1.9,4.2,0.9,0.1,0.8,0.441,0.372,0.82,20.6
1641705,Victor Wembanyama,181,23.4,11.0,3.5,1.1,3.5,3.1,0.484,0.342,0.817,30.4
1631246,Vince Williams Jr.,134,7.7,4.2,3.0,0.7,0.4,1.5,0.4,0.322,0.796,21.3
1630249,Vít Krejčí,203,6.5,2.4,1.8,0.6,0.3,0.7,0.458,0.393,0.754,19.4
1642845,VJ Edgecombe,75,16.0,5.6,4.2,1.4,0.5,1.8,0.438,0.354,0.818,35.0
1642884,Vladislav Goldin,9,0.8,1.0,0.3,0.0,0.3,0.3,0.75,0.0,1.0,2.6
1631117,Walker Kessler,201,9.5,9.3,1.2,0.5,2.4,1.1,0.681,0.266,0.545,25.3
1642383,Walter Clayton Jr.,69,7.8,2.0,4.0,0.6,0.3,1.7,0.384,0.307,0.901,20.4
1628976,Wendell Carter Jr.,461,11.9,8.1,2.0,0.7,0.7,1.5,0.51,0.316,0.74,27.6
1631111,Wendell Moore Jr.,96,2.3,1.4,0.7,0.4,0.1,0.4,0.464,0.246,0.828,8.2
1642954,Will Richard,69,6.4,2.5,1.3,1.2,0.1,0.8,0.468,0.335,0.852,19.9
1642860,Will Riley,74,10.3,2.9,2.0,0.7,0.1,1.3,0.439,0.316,0.8,22.1
1630214,Xavier Tillman,290,4.9,3.5,1.1,0.8,0.5,0.6,0.506,0.246,0.572,15.0
1642905,Yang Hansen,43,2.2,1.5,0.5,0.1,0.2,0.7,0.31,0.119,0.824,7.0
1642949,Yanic Konan Niederhäuser,41,4.3,2.9,0.3,0.1,0.7,0.6,0.64,0.2,0.758,10.3
1642530,Yuki Kawamura,40,2.5,1.1,1.7,0.3,0.0,0.5,0.341,0.3,0.857,7.5
1642274,Yves Missi,139,7.5,7.1,1.3,0.4,1.4,1.0,0.546,0.0,0.601,23.4
1642258,Zaccharie Risacher,142,11.1,3.7,1.2,0.8,0.5,1.1,0.457,0.36,0.686,23.6
1628380,Zach Collins,388,8.0,4.9,1.8,0.4,0.7,1.4,0.485,0.334,0.765,18.9
1641744,Zach Edey,77,9.9,8.7,1.0,0.6,1.4,1.5,0.589,0.333,0.723,22.1
203897,Zach LaVine,693,20.7,4.0,3.9,0.9,0.3,2.6,0.47,0.391,0.835,32.7
1630192,Zeke Nnaji,303,4.1,2.3,0.4,0.3,0.5,0.4,0.503,0.345,0.671,12.0
1630533,Ziaire Williams,269,8.7,3.0,1.2,0.8,0.3,1.0,0.422,0.322,0.824,21.4
1629627,Zion Williamson,276,23.8,6.4,4.1,1.0,0.6,2.7,0.591,0.324,0.695,31.0
1642389,Zyon Pullin,8,2.9,0.4,1.1,0.1,0.0,0.4,0.643,0.333,1.0,5.6
