name,school,pos,age,ht,bpm,ppg,rpg,apg,spg,bpg,topg,ts_pct
Duke Miles,Vanderbilt,G,24.4,6'2,10.1,16.1,3.0,4.5,2.6,0.2,1.8,59.5
Jaxon Kohler,Michigan St.,F-C,23.0,6'9,9.1,12.5,8.9,1.3,0.6,0.7,1.4,61.5
Yaxel Lendeborg,Michigan,W-F,23.7,6'9,15.1,15.1,6.8,3.2,1.1,1.2,1.0,64.6
Kingston Flemings,Houston,G,19.5,6'4,11.4,16.1,4.1,5.2,1.5,0.3,1.8,56.3
Keaton Wagler,Illinois,G,19.4,6'6,11.0,17.9,5.1,4.2,0.9,0.4,1.8,59.6
Darius Acuff Jr.,Arkansas,G,19.6,6'3,8.9,23.5,3.1,6.4,0.8,0.3,2.1,60.4
Hannes Steinbach,Washington,F-C,20.1,6'11,9.0,18.5,11.8,1.6,1.1,1.2,2.0,63.6
Aday Mara,Michigan,C,21.2,7'3,12.7,12.1,6.8,2.4,0.4,2.6,2.0,65.8
Ebuka Okorie,Stanford,G,19.2,6'2,9.6,23.2,3.6,3.6,1.6,0.3,1.9,58.9
Allen Graves,Santa Clara,W-F,19.9,6'9,12.7,11.8,6.5,1.8,1.9,0.9,0.7,61.5
Brayden Burries,Arizona,G-W,20.8,6'4,10.4,16.1,4.9,2.4,1.5,0.2,1.4,61.6
Morez Johnson Jr.,Michigan,F-C,20.4,6'9,10.1,13.1,7.3,1.2,0.7,1.1,1.3,67.7
Dailyn Swain,Texas,W-F,20.9,6'8,9.5,17.3,7.5,3.6,1.6,0.3,2.8,63.3
Nate Ament,Tennessee,W-F,19.5,6'10,7.2,16.7,6.3,2.3,1.0,0.6,2.3,53.4
Labaron Philon,Alabama,G,20.6,6'4,10.3,22.0,3.5,5.0,1.2,0.2,2.5,62.6
Bennett Stirtz,Iowa,G,22.7,6'4,9.1,19.8,2.6,4.4,1.4,0.2,1.8,60.7
Jayden Quaintance,Kentucky,C,19.0,6'11,0.6,5.0,5.0,0.5,0.5,0.8,1.7,49.6
Isaiah Evans,Duke,G-W,20.6,6'6,8.2,15.0,3.2,1.3,0.7,0.7,1.2,59.0
Zuby Ejiofor,St. John's,F-C,22.2,6'9,13.5,16.3,7.3,3.5,1.2,2.1,2.1,60.9
Koa Peat,Arizona,W-F,19.4,6'8,7.4,14.1,5.6,2.6,0.6,0.7,1.6,55.7
Joshua Jefferson,Iowa St.,W-F,22.6,6'9,11.6,16.4,7.4,4.8,1.6,0.8,2.5,56.0
Cameron Boozer,Duke,W-F,18.9,6'9,17.1,22.5,10.2,4.1,1.4,0.6,2.6,65.3
Darryn Peterson,Kansas,G-W,19.4,6'5,12.4,20.2,4.2,1.6,1.4,0.6,1.6,57.8
AJ Dybantsa,BYU,W-F,19.4,6'9,10.1,25.5,6.8,3.7,1.1,0.3,3.1,60.0
Caleb Wilson,North Carolina,W-F,19.9,6'10,12.7,19.8,9.4,2.7,1.5,1.4,1.9,62.6
Mikel Brown Jr.,Louisville,G,20.2,6'5,5.4,18.2,3.3,4.7,1.2,0.1,3.1,57.7
